district,date,temp_moy,temp_max,humidite,precip_mensuel,cas
Bourha,2018-04-01,32.19,41.38,33.13,10.2,425.0
Bourha,2018-05-01,28.04,39.37,69.32,142.6,383.0
Bourha,2018-06-01,26.7,34.9,75.06,161.7,548.0
Bourha,2018-07-01,25.01,30.77,82.45,207.39,1174.0
Bourha,2018-08-01,24.06,29.84,87.09,339.76,1261.0
Bourha,2018-09-01,24.8,31.55,84.69,249.9,1165.0
Bourha,2018-10-01,26.0,32.57,76.63,29.45,1987.0
Bourha,2018-11-01,26.51,36.38,46.73,2.4,993.0
Bourha,2018-12-01,25.51,36.89,23.09,0.0,1011.0
Bourha,2019-01-01,26.79,39.23,15.15,0.0,712.0
Bourha,2019-02-01,28.39,40.22,15.52,0.28,298.0
Bourha,2019-03-01,32.14,42.93,15.62,0.0,685.0
Bourha,2019-04-01,33.61,43.58,26.07,7.8,527.0
Bourha,2019-05-01,30.18,42.03,56.55,97.65,517.0
Bourha,2019-06-01,26.92,35.76,75.07,252.0,758.0
Bourha,2019-07-01,24.99,31.98,84.45,264.43,1030.0
Bourha,2019-08-01,23.81,29.06,88.03,283.65,1235.0
Bourha,2019-09-01,25.0,31.34,84.01,118.2,1575.0
Bourha,2019-10-01,24.73,31.16,83.22,116.56,1888.0
Bourha,2019-11-01,25.3,34.3,61.44,0.0,1632.0
Bourha,2019-12-01,24.09,35.72,26.06,0.0,1351.0
Bourha,2020-01-01,24.6,37.24,18.02,0.0,648.0
Bourha,2020-02-01,27.72,40.39,14.57,0.0,500.0
Bourha,2020-03-01,31.46,42.2,19.43,1.55,406.0
Bourha,2020-04-01,31.83,42.37,39.28,28.2,472.0
Bourha,2020-05-01,29.27,38.7,62.54,62.0,397.0
Bourha,2020-06-01,28.15,37.57,66.87,76.2,611.0
Bourha,2020-07-01,25.76,35.19,76.85,132.68,722.0
Bourha,2020-08-01,24.27,30.95,84.0,229.4,991.0
Bourha,2020-09-01,24.45,30.29,84.91,184.8,1005.0
Bourha,2020-10-01,25.61,34.59,70.11,38.75,1279.0
Bourha,2020-11-01,26.46,36.28,41.66,1.2,1584.0
Bourha,2020-12-01,27.11,37.57,22.28,0.0,1231.0
Bourha,2021-01-01,27.01,37.92,15.97,0.0,946.0
Bourha,2021-02-01,27.6,39.16,13.01,0.0,641.0
Bourha,2021-03-01,31.14,41.47,26.13,5.89,696.0
Bourha,2021-04-01,32.32,42.59,29.58,7.8,582.0
Bourha,2021-05-01,31.07,41.5,50.14,48.05,577.0
